24619745	1
25682074	1
25752562	1
26201402	1
26273192	1
26568208	1
26820943	1
26925684	1
26968398	1
27015557	1
27580659	1
27888421	3
28101798	1
28198380	1
28377481	1
28618929	1
28653902	1
28958991	1
30391405	3
30397860	3
30405852	3
30419345	3
30419349	3
10022033	0
10025425	0
10025444	0
10025576	0
20578946	4
21263000	2
21263000	2
21549079	4
21706501	4
22011734	4
23211900	4
23239255	4
24939608	4
26952712	4
28211982	4
28267727	3
28296849	2
28618888	3
28911804	4
29271604	4
8001324	4
23954459	4
24032991	4
25008444	4
27241659	4
12677556	2
15231740	2
17574030	2
21246219	2
23716571	2
24316073	2
24611735	2
24695551	2
25458167	2
25672202	2
26103456	2
26586152	2
26846096	2
27442694	2
27488999	2
27571505	2
28174811	2
29039417	2
8270381	2
8667262	2
8712208	2
